MH3,MS,Xbbbb(pb),Xbbtautau(pb),Xbbgamgam(pb),Xhhh(pb),Xtth(pb),MH3,MS,X_to_HYbb(pb),X_to_HYbb_plus10p(pb),X_to_HYbb_minus10p(pb),BR(H->bb),BR(H->tautau),BR(H->gammagamma),BR(H->bb)/SM,BR(H->tautau)/SM,BR(H->gammagamma)/SM
400,60,7.11E-02,7.58E-03,1.85E-04,-1,-1,400,60,1.03E-01,1.24E-01,8.24E-02,6.90E-01,7.36E-02,1.80E-03,1.19,1.17,0.79
400,80,6.99E-02,7.45E-03,1.82E-04,-1,-1,400,80,1.01E-01,1.21E-01,8.09E-02,6.91E-01,7.38E-02,1.80E-03,1.19,1.18,0.79
400,90,1.06E-01,1.13E-02,2.81E-04,-1,-1,400,90,1.54E-01,1.84E-01,1.23E-01,6.90E-01,7.34E-02,1.82E-03,1.19,1.17,0.8
400,100,1.06E-01,1.13E-02,2.84E-04,-1,-1,400,100,1.54E-01,1.85E-01,1.23E-01,6.89E-01,7.34E-02,1.84E-03,1.19,1.17,0.81
400,150,1.20E-01,1.28E-02,3.54E-04,-1,-1,400,150,1.78E-01,2.14E-01,1.42E-01,6.74E-01,7.19E-02,1.99E-03,1.16,1.15,0.88
400,200,8.03E-02,8.56E-03,2.18E-04,-1,-1,400,200,1.17E-01,1.40E-01,9.36E-02,6.86E-01,7.32E-02,1.86E-03,1.18,1.17,0.82
400,250,5.13E-03,5.47E-04,1.41E-05,-1,-1,400,250,7.50E-03,9.00E-03,6.00E-03,6.84E-01,7.29E-02,1.88E-03,1.18,1.16,0.83
500,60,5.79E-03,6.17E-04,1.61E-05,-1,-1,500,60,9.59E-03,1.15E-02,7.67E-03,6.04E-01,6.44E-02,1.68E-03,1.04,1.03,0.74
500,80,3.22E-02,3.44E-03,9.14E-05,-1,-1,500,80,4.83E-02,5.80E-02,3.87E-02,6.66E-01,7.12E-02,1.89E-03,1.15,1.14,0.83
500,90,3.73E-02,3.97E-03,1.06E-04,-1,-1,500,90,5.60E-02,6.72E-02,4.48E-02,6.66E-01,7.09E-02,1.89E-03,1.15,1.13,0.83
500,100,1.79E-02,1.90E-03,4.56E-05,-1,-1,500,100,2.59E-02,3.10E-02,2.07E-02,6.92E-01,7.34E-02,1.76E-03,1.19,1.17,0.78
