MS,MH3,Xbbgg+ggbb(fb),Xbbbb(fb),X_to_HY_from_bbgg(fb),X_to_HY_from_4b(fb),X_to_HY(fb),X_to_HYbb(fb),Y_to_bb,Y_to_tautau,Y_to_mumu,Y_to_cc,Y_to_ss,Y_to_tt,Y_to_gluglu,Y_to_gg,Y_to_Zg,Y_to_WW,Y_to_ZZ,Y_to_l+l-l+l-,Y_to_l+l-l+l-.1,Y_to_e+e-e+e-,Y_to_e+e-μ+μ-,Y_to_l+l-νlνl,Y_to_l+l-νlνl.1,Y_to_e+νee-νe,Y_to_e+νeμ-νμ,Y_to_l+l-qq(q=udcsb),Y_to_l+l-qq,Y_to_l+νlqq*,Y_to_νlνlqq,Y_to_qqqq,Y_to_ffff
100,550,0.224186,-1,82.70775996,-1,82.70775996,65.25642261,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,600,0.121672,-1,44.88780999,-1,44.88780999,35.41648208,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,650,0.0575513,-1,21.23209793,-1,21.23209793,16.75212526,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,700,0.0240244,-1,8.863195331,-1,8.863195331,6.993061116,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,750,0.0140379,-1,5.178928495,-1,5.178928495,4.086174583,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,900,-1,0.823062,-1,0.9039610942,0.9039610942,0.7132253033,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,1000,-1,0.365865,-1,0.4018260176,0.4018260176,0.3170407279,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,1100,-1,0.204596,-1,0.2247058229,0.2247058229,0.1772928943,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,1200,-1,0.0873303,-1,0.09591403022,0.09591403022,0.07567616984,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,1300,-1,0.0520089,-1,0.05712087564,0.05712087564,0.04506837088,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,1400,-1,0.0273502,-1,0.03003846213,0.03003846213,0.02370034662,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,1500,-1,0.0156208,-1,0.0171561747,0.0171561747,0.01353622184,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
100,1600,-1,0.00664009,-1,0.00729274711,0.00729274711,0.00575397747,0.789,0.0828,0.000288,0.0399,0.000337,0,0.0737,0.00158,4.93E-05,0.011,0.00112,1.28E-05,6.06E-06,1.78E-06,2.49E-06,0.00114,0.000503,0.000113,0.000129,0.000157,0.000104,0.00161,0.000314,0.00534,0.0118
110,300,2.01297,-1,713.4472456,-1,713.4472456,530.8047507,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,350,2.01297,-1,713.4472456,-1,713.4472456,530.8047507,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,400,1.70154,-1,603.0686132,-1,603.0686132,448.6830482,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,450,0.745544,-1,264.2395631,-1,264.2395631,196.5942349,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,500,0.492427,-1,174.5285259,-1,174.5285259,129.8492233,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,550,0.257702,-1,91.33607658,-1,91.33607658,67.95404098,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,600,0.0829236,-1,29.39021149,-1,29.39021149,21.86631735,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,650,0.0495456,-1,17.56020798,-1,17.56020798,13.06479473,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,700,0.0219277,-1,7.771728921,-1,7.771728921,5.782166318,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,900,-1,0.639898,-1,0.7453015225,0.7453015225,0.5545043328,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,900,-1,6.98644,-1,8.137241199,8.137241199,6.054107452,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1000,-1,0.338456,-1,0.3942062205,0.3942062205,0.2932894281,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1100,-1,0.161926,-1,0.1885983303,0.1885983303,0.1403171577,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1100,-1,1.87573,-1,2.18469885,2.18469885,1.625415945,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
110,1200,-1,0.0689511,-1,0.0803086739,0.0803086739,0.05974965338,0.744,0.0795,0.000276,0.0376,0.000318,0,0.0844,0.00195,0.000391,0.0477,0.00434,4.72E-05,2.18E-05,6.04E-06,9.69E-06,0.00508,0.00226,0.000532,0.000561,0.000606,0.000404,0.00699,0.00121,0.0234,0.0515
