MS,MH3,Xbbgg+ggbb(fb),Xbbbb(fb)
90,300,1.8512,-1
100,300,1.61179,-1
110,300,2.01297,-1
120,300,1.14898,-1
120,300,2.18306,-1
125,300,1.79269,-1
130,300,1.52928,-1
130,300,1.01707,-1
140,300,1.20222,-1
150,300,0.830865,-1
165,300,0.132504,-1
170,300,0.0562445,-1
90,350,1.84507,-1
100,350,1.81198,-1
110,350,2.01297,-1
120,350,1.39413,-1
120,350,2.2354,-1
125,350,1.82258,-1
130,350,1.60335,-1
130,350,1.10989,-1
140,350,1.32257,-1
150,350,0.818674,-1
165,350,0.161937,-1
170,350,0.0550766,-1
180,350,0.032194,-1
90,400,1.15918,-1
100,400,1.29904,-1
110,400,1.70154,-1
120,400,1.09483,-1
120,400,1.87243,-1
125,400,1.63905,-1
130,400,1.43106,-1
130,400,0.823665,-1
140,400,1.15033,-1
150,400,0.426619,-1
165,400,0.115421,-1
170,400,0.0467077,-1
180,400,0.0350773,-1
90,450,0.744575,-1
100,450,0.695391,-1
110,450,0.745544,-1
120,450,0.718058,-1
120,450,1.22448,-1
125,450,1.14944,-1
130,450,1.24159,-1
130,450,0.974172,-1
140,450,0.718138,-1
150,450,0.448795,-1
165,450,0.0935081,-1
170,450,0.0342381,-1
180,450,0.0194824,-1
90,500,0.380508,-1
100,500,0.43674,-1
110,500,0.492427,-1
120,500,0.310358,-1
120,500,0.809138,-1
125,500,0.963131,-1
130,500,0.68401,-1
130,500,0.561103,-1
140,500,0.458276,-1
150,500,0.282783,-1
165,500,0.0475081,-1
170,500,0.0175669,-1
90,550,0.186895,-1
100,550,0.224186,-1
110,550,0.257702,-1
120,550,0.322556,-1
120,550,0.533995,-1
125,550,0.626192,-1
130,550,0.457962,-1
130,550,0.159224,-1
140,550,0.188849,-1
150,550,0.132547,-1
165,550,0.0304927,-1
90,600,0.0778,-1
100,600,0.121672,-1
110,600,0.0829236,-1
120,600,0.0921433,-1
120,600,0.294881,-1
125,600,0.317463,-1
130,600,0.26535,-1
130,600,0.0787198,-1
140,600,0.108281,-1
150,600,0.0663148,-1
165,600,0.0141663,-1
90,650,0.0423313,-1
100,650,0.0575513,-1
110,650,0.0495456,-1
120,650,0.0926936,-1
120,650,0.224522,-1
125,650,0.215023,-1
130,650,0.189185,-1
130,650,0.0477327,-1
140,650,0.0611178,-1
150,650,0.0426142,-1
100,700,0.0240244,-1
110,700,0.0219277,-1
120,700,0.0394737,-1
120,700,0.136343,-1
125,700,0.145824,-1
130,700,0.127998,-1
130,700,0.026744,-1
150,700,0.0178137,-1
100,750,0.0140379,-1
120,750,0.0184148,-1
120,750,0.123627,-1
125,750,0.104312,-1
130,750,0.0867375,-1
130,750,0.0161197,-1
120,800,0.0157516,-1
120,800,0.0820737,-1
125,800,0.0706228,-1
130,800,0.0707187,-1
130,800,0.0159312,-1
120,850,0.00929248,-1
120,850,0.0590953,-1
125,850,0.0586094,-1
130,850,0.0498029,-1
130,850,0.0105286,-1
60,900,-1,0.530823
70,900,-1,0.843371
80,900,-1,0.790045
90,900,-1,0.668048
100,900,-1,0.823062
108,900,-1,0.622249
109,900,-1,0.6310735
110,900,-1,0.639898
110,900,-1,6.98644
117,900,-1,6.03679
120,900,0.04167,-1
125,900,0.0422258,4.55644
130,900,0.0356164,-1
132,900,-1,2.94085
140,900,-1,1.83132
140,900,-1,0.373208
150,900,-1,0.184717
60,1000,-1,0.282641
70,1000,-1,0.381999
80,1000,-1,0.417188
90,1000,-1,0.396002
100,1000,-1,0.365865
108,1000,-1,0.306021
109,1000,-1,0.3222385
110,1000,-1,0.338456
110,1000,-1,3.61192
117,1000,-1,3.08073
120,1000,0.0206692,-1
125,1000,0.0216593,2.2606
132,1000,-1,1.56334
140,1000,-1,0.939649
140,1000,-1,0.166463
150,1000,-1,0.0758218
175,1000,-1,0.00257619
200,1000,-1,0.000946657
250,1000,-1,0.000354716
60,1100,-1,0.149634
70,1100,-1,0.18141
80,1100,-1,0.190383
90,1100,-1,0.177559
100,1100,-1,0.204596
108,1100,-1,0.15189
109,1100,-1,0.156908
110,1100,-1,0.161926
110,1100,-1,1.87573
117,1100,-1,1.65889
125,1100,-1,1.27654
132,1100,-1,0.84134
140,1100,-1,0.503109
140,1100,-1,0.0792486
150,1100,-1,0.0452273
175,1100,-1,0.00115511
200,1100,-1,0.000372681
60,1200,-1,0.0619505
70,1200,-1,0.0876026
80,1200,-1,0.103098
90,1200,-1,0.0947625
100,1200,-1,0.0873303
108,1200,-1,0.0733339
109,1200,-1,0.0711425
110,1200,-1,0.0689511
110,1200,-1,1.0694
117,1200,-1,0.885056
125,1200,-1,0.704206
132,1200,-1,0.453594
140,1200,-1,0.290694
140,1200,-1,0.0402506
150,1200,-1,0.0217621
175,1200,-1,0.000518205
60,1300,-1,0.0363605
70,1300,-1,0.0375216
80,1300,-1,0.0527617
90,1300,-1,0.0493981
100,1300,-1,0.0520089
108,1300,-1,0.0395685
109,1300,-1,0.0388025
110,1300,-1,0.0380365
110,1300,-1,0.597424
117,1300,-1,0.505793
125,1300,-1,0.439341
132,1300,-1,0.271885
140,1300,-1,0.164741
140,1300,-1,0.0224178
150,1300,-1,0.00569091
60,1400,-1,0.0195609
70,1400,-1,0.0197864
80,1400,-1,0.0269319
90,1400,-1,0.0535888
100,1400,-1,0.0273502
110,1400,-1,0.0120007
110,1400,-1,0.34961
117,1400,-1,0.29277
125,1400,-1,0.224335
132,1400,-1,0.161045
140,1400,-1,0.0993188
140,1400,-1,0.0122414
150,1400,-1,0.0042075
60,1500,-1,0.0100798
70,1500,-1,0.00576757
80,1500,-1,0.00903321
90,1500,-1,0.0144507
100,1500,-1,0.0156208
110,1500,-1,0.0109522
110,1500,-1,0.201052
117,1500,-1,0.170938
125,1500,-1,0.134284
132,1500,-1,0.0891243
140,1500,-1,0.0565526
140,1500,-1,0.00477542
150,1500,-1,0.00130333
60,1600,-1,0.00531885
70,1600,-1,0.00331754
80,1600,-1,0.00416651
90,1600,-1,0.00457468
100,1600,-1,0.00664009
110,1600,-1,0.00853901
110,1600,-1,0.121019
117,1600,-1,0.090719
125,1600,-1,0.0819296
132,1600,-1,0.0572119
140,1600,-1,0.0380439
140,1600,-1,0.00193996
150,1600,-1,0.000946152
60,1700,-1,0.00279709
70,1700,-1,0.00182705
80,1700,-1,0.00405698
90,1700,-1,0.00258216
