MH,13TeV_XS,14TeV_XS,XS14/XS13
10,7E+03,7.44E+03,1.063607776
15,4.28E+03,4.58E+03,1.070409357
20,2.09E+03,2.25E+03,1.076738609
25,1.15E+03,1.24E+03,1.083769634
30,7.1E+02,7.73E+02,1.087709419
35,4.85E+02,5.29E+02,1.092034668
40,3.56E+02,3.89E+02,1.09535865
45,2.75E+02,3.02E+02,1.098509633
50,2.21E+02,2.44E+02,1.101174345
55,1.84E+02,2.03E+02,1.103542234
60,1.56E+02,1.72E+02,1.106109325
65,1.34E+02,1.49E+02,1.108128262
70,1.17E+02,1.3E+02,1.110068259
75,1.04E+02,1.15E+02,1.111003861
80,9.24E+01,1.03E+02,1.112554113
85,8.3E+01,9.25E+01,1.114430258
90,7.51E+01,8.38E+01,1.116025043
95,6.83E+01,7.63E+01,1.117509158
100,6.24E+01,6.98E+01,1.119005613
105,5.72E+01,6.41E+01,1.120629371
110,5.27E+01,5.91E+01,1.121867882
115,4.87E+01,5.47E+01,1.123023208
120,4.51E+01,5.08E+01,1.124501551
125,4.2E+01,4.73E+01,1.12553597
130,3.91E+01,4.41E+01,1.126980072
135,3.66E+01,4.13E+01,1.127903799
140,3.43E+01,3.87E+01,1.129229872
145,3.22E+01,3.64E+01,1.130475303
150,3.03E+01,3.43E+01,1.131726642
160,2.7E+01,3.06E+01,1.134223211
170,2.42E+01,2.75E+01,1.136006614
180,2.18E+01,2.49E+01,1.137820513
190,1.98E+01,2.26E+01,1.139616935
200,1.81E+01,2.07E+01,1.142384106
210,1.67E+01,1.91E+01,1.144144144
220,1.54E+01,1.76E+01,1.14638907
230,1.43E+01,1.64E+01,1.147966339
240,1.33E+01,1.53E+01,1.149511645
250,1.25E+01,1.44E+01,1.151442308
260,1.18E+01,1.36E+01,1.153061224
270,1.11E+01,1.29E+01,1.15529623
280,1.06E+01,1.23E+01,1.156308851
290,1.02E+01,1.18E+01,1.158153242
300,9.82E+00,1.14E+01,1.159523567
310,9.56E+00,1.11E+01,1.161209332
320,9.39E+00,1.09E+01,1.162691652
330,9.35E+00,1.09E+01,1.164830463
340,9.52E+00,1.11E+01,1.166894234
350,1.03E+01,1.2E+01,1.167804878
360,1.06E+01,1.24E+01,1.169332079
370,1.06E+01,1.25E+01,1.170112782
380,1.04E+01,1.22E+01,1.172115385
390,1E+01,1.17E+01,1.174
400,9.52E+00,1.12E+01,1.174863388
410,8.98E+00,1.06E+01,1.176470588
420,8.42E+00,9.92E+00,1.17849079
430,7.85E+00,9.27E+00,1.179803897
440,7.3E+00,8.62E+00,1.181208054
450,6.77E+00,8.01E+00,1.182543199
460,6.27E+00,7.42E+00,1.183689754
470,5.79E+00,6.86E+00,1.185383552
480,5.34E+00,6.34E+00,1.187043625
490,4.92E+00,5.85E+00,1.188870837
500,4.54E+00,5.4E+00,1.190171882
550,3.01E+00,3.6E+00,1.197140957
600,2.01E+00,2.41E+00,1.202891326
650,1.35E+00,1.64E+00,1.210059172
700,9.24E-01,1.12E+00,1.217108825
750,6.4E-01,7.83E-01,1.223194748
800,4.49E-01,5.53E-01,1.230683589
850,3.2E-01,3.95E-01,1.236619718
900,2.3E-01,2.86E-01,1.242068666
950,1.68E-01,2.09E-01,1.249552239
1000,1.23E-01,1.55E-01,1.254663423
1050,9.16E-02,1.16E-01,1.262146523
1100,6.87E-02,8.71E-02,1.267763541
1150,5.19E-02,6.62E-02,1.27421529
1200,3.96E-02,5.07E-02,1.280444669
1250,3.04E-02,3.91E-02,1.285855263
1300,2.35E-02,3.04E-02,1.292890592
1350,1.83E-02,2.37E-02,1.29868709
1400,1.43E-02,1.87E-02,1.304682041
1450,1.13E-02,1.48E-02,1.311722913
1500,8.91E-03,1.17E-02,1.317177157
1550,7.09E-03,9.38E-03,1.32345888
1600,5.67E-03,7.53E-03,1.328803389
1650,4.55E-03,6.07E-03,1.336119666
1700,3.66E-03,4.92E-03,1.343528127
1750,2.97E-03,4E-03,1.348397976
1800,2.41E-03,3.26E-03,1.35423588
1850,1.96E-03,2.67E-03,1.361181864
1900,1.61E-03,2.2E-03,1.367372354
1950,1.32E-03,1.81E-03,1.374335611
2000,1.08E-03,1.5E-03,1.38099631
2050,8.95E-04,1.24E-03,1.386127555
2100,7.42E-04,1.03E-03,1.391773432
2150,6.14E-04,8.61E-04,1.400716146
2200,5.11E-04,7.2E-04,1.409553641
2250,4.27E-04,6.03E-04,1.413639559
2300,3.57E-04,5.06E-04,1.418884842
2350,2.99E-04,4.26E-04,1.427041499
2400,2.51E-04,3.6E-04,1.435233161
2450,2.11E-04,3.05E-04,1.443127962
2500,1.78E-04,2.58E-04,1.449381327
2550,1.5E-04,2.18E-04,1.456971314
2600,1.27E-04,1.86E-04,1.462264151
2650,1.08E-04,1.58E-04,1.469823584
2700,9.12E-05,1.35E-04,1.480100866
2750,7.77E-05,1.15E-04,1.481147857
2800,6.61E-05,9.88E-05,1.494630162
2850,5.64E-05,8.44E-05,1.49787083
2900,4.81E-05,7.28E-05,1.514244126
2950,4.11E-05,6.23E-05,1.515807393
3000,3.5E-05,5.37E-05,1.534551685
