Mass[Gev],sigma[pb]_SChan_eta0,sigma[pb]_twiki,scale_pos[%],scale_neg[%],pdf_as[%],pdf[%],aS[%],EW[%],GammaH_twiki[GeV],GoM,sigma[pb]_SChan_h_SChan_eta0,sigma[pb]_BOX_SChan_eta0,sigma[pb]_SChan_eta0_no_HH_decay,width_HH,BR_HH_TWIKI,BR_HH_MG,sigma_prod_pb_SChan_eta0,kfactor_SChan_eta0,kfactor_SChan_eta0_eff
260,0.92093,11.76,5.8,-6.5,±2.9,±1.8,±2.3,0.9772,4.76,0.001,0.0053044,-0.0077206,5.6239,0.04251787057573057,0.16353027144511756,0.16375291168050643,5.631556725624794,2.08823253905789,2
270,1.1204,11.14,5.8,-6.4,±2.9,±1.8,±2.3,0.9783,5.55,0.001,0.0039761,-0.0069227,5.3397,0.05630179677469381,0.2085251732396067,0.2098245219768901,5.3729723974985015,2.073340262307407,2
300,1.1904,9.823,5.8,-6.2,±2.9,±1.8,±2.2,0.9813,8.43,0.001,0.00171704,-0.0053062,4.7256,0.07415781940314282,0.24719273134380942,0.2519045200609446,4.815675580461649,2.039796874991801,2
320,1.1381,9.392,5.7,-6.1,±2.9,±1.8,±2.2,0.982,10.8,0.001,0.00097789,-0.0046361,4.5188,0.07850902875900517,0.24534071487189116,0.2518589005930778,4.638854992308465,2.0246375486133044,2
340,1.111,9.521,5.7,-5.9,±2.9,±1.8,±2.2,0.9779,13.5,0.001,0.0006473443999999,-0.0043407,4.5537,0.0802273671345223,0.23596284451330088,0.24397742495113864,4.708368397115905,2.0221442327733015,2
350,1.1562,10.25,5.7,-5.8,±2.9,±1.8,±2.2,0.9595,15.2,0.001,0.00041621,-0.0039345,4.8512,0.08047716149189925,0.22993474711971212,0.2383327836411609,5.028383115136754,2.0384286092173065,2
360,1.182,10.63,5.7,-5.8,±2.9,±1.9,±2.2,0.9608,17.6,0.001,-9.210000000000002e-06,-0.0026149,5.0922,0.08044320624435286,0.22345335067875796,0.2321197125014728,5.2896946785965735,2.0095677814849386,2
400,0.97265,9.516,5.7,-5.5,±2.9,±1.9,±2.2,0.9741,29.2,0.001,-0.00127991,0.0020714,4.7143,0.07854443838063223,0.19636109595158055,0.20631907176038863,4.95337426839296,1.9211146754487642,2
450,0.60396,6.771,5.7,-5.3,±3.0,±2.0,±2.2,0.9878,46.8,0.001,-0.0017386699999999,0.0041128,3.4332,0.07436560299727928,0.1652568955495095,0.1759175113596645,3.654673519018509,1.8526962708883514,2
500,0.35055,4.538,5.6,-5.1,±3.1,±2.2,±2.3,0.9981,68.0,0.001,-0.00158957,0.0040466,2.3374,0.06970978461141938,0.13941956922283877,0.14997433045263966,2.5143529129666486,1.804838126182406,2
550,0.2019,3.008,5.5,-5.0,±3.2,±2.3,±2.3,1.0069,93.0,0.001,-0.00132084,0.0034481,1.5687,0.06517984980335642,0.1185088178242844,0.12870529737999617,1.703670694777848,1.765599425534658,2
600,0.11757,2.006,5.5,-4.9,±3.4,±2.5,±2.3,1.0152,123.0,0.001,-0.0010745,0.0028145,1.0559,0.060978129427729545,0.10163021571288258,0.11134577137986551,1.1568409963051658,1.7340325994730155,2
650,0.069699,1.352,5.5,-4.9,±3.5,±2.6,±2.3,1.0226,158.0,0.001,-0.00086727,0.0022592,0.71835,0.05715545028717702,0.08793146198027234,0.09702651910628522,0.7926514404552623,1.705667751292389,2
700,0.042159,0.9235,5.4,-4.8,±3.7,±2.8,±2.4,1.0301,199.0,0.001,-0.000710466,0.0018223,0.49486,0.05370380942189807,0.07671972774556866,0.0851937921836479,0.5495196768660993,1.68055856574,2
750,0.026036,0.6398,5.4,-4.8,±3.9,±3.0,±2.4,1.0377,247.0,0.001,-0.000587912,0.0014925,0.34538,0.05059360070438413,0.06745813427251217,0.07538363541606347,0.3859579023460948,1.6576937435686467,2
800,0.016404,0.4491,5.5,-4.7,±4.0,±3.2,±2.4,1.0454,304.0,0.001,-0.000493587,0.0012262,0.24444,0.047789131048279726,0.05973641381034966,0.06710849288168876,0.2746063741301778,1.6354318118890536,2
