mass,sinTheta,lam112,kl,CX(pb)
300.0,0.0,-300.0,1.0,-0.1
300.0,0.0,-200.0,1.0,-0.1
300.0,0.0,-100.0,1.0,-0.1
300.0,0.0,0.0,1.0,-0.1
300.0,0.0,100.0,1.0,-0.1
300.0,0.0,200.0,1.0,-0.1
300.0,0.0,300.0,1.0,-0.1
300.0,0.1,-300.0,1.0,0.01408
300.0,0.1,-200.0,1.0,0.01481
300.0,0.1,-100.0,1.0,0.01538
300.0,0.1,0.0,1.0,0.01421
300.0,0.1,100.0,1.0,0.01663
300.0,0.1,200.0,1.0,0.01779
300.0,0.1,300.0,1.0,0.0186
300.0,0.2,-300.0,1.0,0.01733
300.0,0.2,-200.0,1.0,0.01826
300.0,0.2,-100.0,1.0,0.01755
300.0,0.2,0.0,1.0,0.0131
300.0,0.2,100.0,1.0,0.02059
300.0,0.2,200.0,1.0,0.02393
300.0,0.2,300.0,1.0,-0.1
300.0,0.3,-300.0,1.0,0.02357
300.0,0.3,-200.0,1.0,0.02335
300.0,0.3,-100.0,1.0,0.01921
300.0,0.3,0.0,1.0,0.01152
300.0,0.3,100.0,1.0,0.02326
300.0,0.3,200.0,1.0,0.03145
300.0,0.3,300.0,1.0,0.03554
300.0,0.4,-300.0,1.0,0.03193
300.0,0.4,-200.0,1.0,0.02902
300.0,0.4,-100.0,1.0,0.01948
300.0,0.4,0.0,1.0,0.009465
300.0,0.4,100.0,1.0,0.02437
300.0,0.4,200.0,1.0,0.03875
300.0,0.4,300.0,1.0,0.04657
300.0,0.5,-300.0,1.0,0.04183
300.0,0.5,-200.0,1.0,0.0344
300.0,0.5,-100.0,1.0,0.01889
300.0,0.5,0.0,1.0,0.007157
300.0,0.5,100.0,1.0,0.02425
300.0,0.5,200.0,1.0,0.04487
300.0,0.5,300.0,1.0,0.05774
300.0,0.6,-300.0,1.0,0.05283
300.0,0.6,-200.0,1.0,0.03939
300.0,0.6,-100.0,1.0,0.01792
300.0,0.6,0.0,1.0,0.004839
300.0,0.6,100.0,1.0,0.02318
300.0,0.6,200.0,1.0,0.04973
300.0,0.6,300.0,1.0,0.06836
300.0,0.7,-300.0,1.0,0.06443
300.0,0.7,-200.0,1.0,0.04409
300.0,0.7,-100.0,1.0,0.0171
300.0,0.7,0.0,1.0,0.002701
300.0,0.7,100.0,1.0,0.02163
300.0,0.7,200.0,1.0,0.05313
300.0,0.7,300.0,1.0,0.07785
300.0,0.8,-300.0,1.0,0.07661
300.0,0.8,-200.0,1.0,0.04913
300.0,0.8,-100.0,1.0,0.01684
300.0,0.8,0.0,1.0,0.001088
300.0,0.8,100.0,1.0,0.02005
300.0,0.8,200.0,1.0,0.05536
300.0,0.8,300.0,1.0,0.08612
300.0,0.9,-300.0,1.0,0.08976
300.0,0.9,-200.0,1.0,0.05457
300.0,0.9,-100.0,1.0,0.0175
300.0,0.9,0.0,1.0,0.0002188
300.0,0.9,100.0,1.0,0.01875
300.0,0.9,200.0,1.0,0.05691
300.0,0.9,300.0,1.0,0.09332
600.0,0.0,-300.0,1.0,-0.1
600.0,0.0,-200.0,1.0,-0.1
600.0,0.0,-100.0,1.0,-0.1
600.0,0.0,0.0,1.0,-0.1
600.0,0.0,100.0,1.0,-0.1
600.0,0.0,200.0,1.0,-0.1
600.0,0.0,300.0,1.0,-0.1
600.0,0.1,-300.0,1.0,0.01421
600.0,0.1,-200.0,1.0,0.01449
600.0,0.1,-100.0,1.0,-0.1
600.0,0.1,0.0,1.0,-0.1
600.0,0.1,100.0,1.0,-0.1
600.0,0.1,200.0,1.0,-0.1
600.0,0.1,300.0,1.0,-0.1
600.0,0.2,-300.0,1.0,-0.1
600.0,0.2,-200.0,1.0,-0.1
600.0,0.2,-100.0,1.0,-0.1
600.0,0.2,0.0,1.0,-0.1
600.0,0.2,100.0,1.0,-0.1
600.0,0.2,200.0,1.0,-0.1
600.0,0.2,300.0,1.0,-0.1
600.0,0.3,-300.0,1.0,0.01431
600.0,0.3,-200.0,1.0,0.01231
600.0,0.3,-100.0,1.0,0.01097
600.0,0.3,0.0,1.0,0.01154
600.0,0.3,100.0,1.0,0.01493
600.0,0.3,200.0,1.0,0.02026
600.0,0.3,300.0,1.0,0.02618
600.0,0.4,-300.0,1.0,0.01285
600.0,0.4,-200.0,1.0,0.01001
600.0,0.4,-100.0,1.0,0.008559
600.0,0.4,0.0,1.0,0.009486
600.0,0.4,100.0,1.0,0.01334
600.0,0.4,200.0,1.0,0.01961
600.0,0.4,300.0,1.0,0.02703
600.0,0.5,-300.0,1.0,0.01119
600.0,0.5,-200.0,1.0,0.007711
600.0,0.5,-100.0,1.0,0.006093
600.0,0.5,0.0,1.0,0.007176
600.0,0.5,100.0,1.0,0.01129
600.0,0.5,200.0,1.0,0.01805
600.0,0.5,300.0,1.0,0.0266
600.0,0.6,-300.0,1.0,0.01006
600.0,0.6,-200.0,1.0,0.005825
600.0,0.6,-100.0,1.0,0.003869
600.0,0.6,0.0,1.0,0.004825
600.0,0.6,100.0,1.0,0.008945
600.0,0.6,200.0,1.0,0.01591
600.0,0.6,300.0,1.0,0.02498
600.0,0.7,-300.0,1.0,0.009826
600.0,0.7,-200.0,1.0,0.004702
600.0,0.7,-100.0,1.0,0.002173
600.0,0.7,0.0,1.0,0.002711
600.0,0.7,100.0,1.0,0.006486
600.0,0.7,200.0,1.0,0.01334
600.0,0.7,300.0,1.0,0.02256
600.0,0.8,-300.0,1.0,0.01091
600.0,0.8,-200.0,1.0,0.004678
600.0,0.8,-100.0,1.0,0.001274
600.0,0.8,0.0,1.0,0.001092
600.0,0.8,100.0,1.0,0.004268
600.0,0.8,200.0,1.0,0.0107
600.0,0.8,300.0,1.0,0.01977
600.0,0.9,-300.0,1.0,0.01346
600.0,0.9,-200.0,1.0,0.005898
600.0,0.9,-100.0,1.0,0.001372
600.0,0.9,0.0,1.0,0.0002194
600.0,0.9,100.0,1.0,0.002534
600.0,0.9,200.0,1.0,0.008252
600.0,0.9,300.0,1.0,0.01692
1000.0,0.0,-300.0,1.0,0.01449
1000.0,0.0,-200.0,1.0,0.01453
1000.0,0.0,-100.0,1.0,0.01451
1000.0,0.0,0.0,1.0,0.01449
1000.0,0.0,100.0,1.0,0.01449
1000.0,0.0,200.0,1.0,0.01452
1000.0,0.0,300.0,1.0,0.01452
1000.0,0.1,-300.0,1.0,-0.1
1000.0,0.1,-200.0,1.0,-0.1
1000.0,0.1,-100.0,1.0,-0.1
1000.0,0.1,0.0,1.0,-0.1
1000.0,0.1,100.0,1.0,-0.1
1000.0,0.1,200.0,1.0,-0.1
1000.0,0.1,300.0,1.0,-0.1
1000.0,0.2,-300.0,1.0,-0.1
1000.0,0.2,-200.0,1.0,-0.1
1000.0,0.2,-100.0,1.0,-0.1
1000.0,0.2,0.0,1.0,-0.1
1000.0,0.2,100.0,1.0,-0.1
1000.0,0.2,200.0,1.0,-0.1
1000.0,0.2,300.0,1.0,-0.1
1000.0,0.3,-300.0,1.0,0.008736
1000.0,0.3,-200.0,1.0,0.009077
1000.0,0.3,-100.0,1.0,0.009973
1000.0,0.3,0.0,1.0,0.01154
1000.0,0.3,100.0,1.0,0.01384
1000.0,0.3,200.0,1.0,-0.1
1000.0,0.3,300.0,1.0,-0.1
1000.0,0.4,-300.0,1.0,0.006076
1000.0,0.4,-200.0,1.0,0.006491
1000.0,0.4,-100.0,1.0,0.007614
1000.0,0.4,0.0,1.0,0.009484
1000.0,0.4,100.0,1.0,0.01214
1000.0,0.4,200.0,1.0,0.01552
1000.0,0.4,300.0,1.0,0.01958
1000.0,0.5,-300.0,1.0,0.003835
1000.0,0.5,-200.0,1.0,0.004173
1000.0,0.5,-100.0,1.0,0.005268
1000.0,0.5,0.0,1.0,0.007174
1000.0,0.5,100.0,1.0,0.009942
1000.0,0.5,200.0,1.0,0.01345
1000.0,0.5,300.0,1.0,0.01764
1000.0,0.6,-300.0,1.0,0.002326
1000.0,0.6,-200.0,1.0,0.002329
1000.0,0.6,-100.0,1.0,0.003152
1000.0,0.6,0.0,1.0,0.004823
1000.0,0.6,100.0,1.0,0.007364
1000.0,0.6,200.0,1.0,0.01073
1000.0,0.6,300.0,1.0,0.01479
1000.0,0.7,-300.0,1.0,0.001669
1000.0,0.7,-200.0,1.0,0.00116
1000.0,0.7,-100.0,1.0,0.001505
1000.0,0.7,0.0,1.0,0.002706
1000.0,0.7,100.0,1.0,0.004801
1000.0,0.7,200.0,1.0,0.007735
1000.0,0.7,300.0,1.0,0.0114
1000.0,0.8,-300.0,1.0,0.001882
1000.0,0.8,-200.0,1.0,0.0007715
1000.0,0.8,-100.0,1.0,0.000507
1000.0,0.8,0.0,1.0,0.001092
1000.0,0.8,100.0,1.0,0.002547
1000.0,0.8,200.0,1.0,0.004841
1000.0,0.8,300.0,1.0,0.007938
1000.0,0.9,-300.0,1.0,0.002862
1000.0,0.9,-200.0,1.0,0.001168
1000.0,0.9,-100.0,1.0,0.0002782
1000.0,0.9,0.0,1.0,0.0002194
1000.0,0.9,100.0,1.0,0.0009886
1000.0,0.9,200.0,1.0,0.002574
1000.0,0.9,300.0,1.0,0.00499
